Wavelength (μm), R (B), T (B), A (B), R (C), T (C), A (C)
18.000000, 0.948919, 0.000000,                     0.051081, 0.948919, 0.000000, 0.051081
12.461538, 0.953307, 0.000000,                     0.046693, 0.953307, 0.000000, 0.046693
9.529412, 0.959980, 0.000000,                     0.040020, 0.959980, 0.000000, 0.040020
7.714286, 0.968412, 0.000000,                     0.031588, 0.968412, 0.000000, 0.031588
6.480000, 0.978339, 0.000000,                     0.021661, 0.978339, 0.000000, 0.021661
5.586207, 0.989593, 0.000000,                     0.010407, 0.989593, 0.000000, 0.010407
4.909091, 1.001886, 0.000000,                     -0.001886, 1.001886, 0.000000, -0.001886
4.378378, 1.015003, 0.000000,                     -0.015003, 1.015003, 0.000000, -0.015003
3.951220, 1.028788, 0.000000,                     -0.028788, 1.028788, 0.000000, -0.028788
3.600000, 1.043010, 0.000000,                     -0.043010, 1.043010, 0.000000, -0.043010
3.306122, 1.057360, 0.000000,                     -0.057360, 1.057360, 0.000000, -0.057360
3.056604, 1.071579, 0.000000,                     -0.071579, 1.071579, 0.000000, -0.071579
2.842105, 1.085186, 0.000000,                     -0.085186, 1.085186, 0.000000, -0.085186
2.655738, 1.097678, 0.000000,                     -0.097678, 1.097678, 0.000000, -0.097678
2.492308, 1.108887, 0.000000,                     -0.108887, 1.108887, 0.000000, -0.108887
2.347826, 1.118698, 0.000000,                     -0.118699, 1.118698, 0.000000, -0.118699
2.219178, 1.126816, 0.000000,                     -0.126816, 1.126816, 0.000000, -0.126816
2.103896, 1.132933, 0.000000,                     -0.132933, 1.132933, 0.000000, -0.132933
2.000000, 1.136837, 0.000000,                     -0.136837, 1.136837, 0.000000, -0.136837
1.905882, 1.138416, 0.000000,                     -0.138416, 1.138416, 0.000000, -0.138416
1.820225, 1.137560, 0.000000,                     -0.137560, 1.137560, 0.000000, -0.137560
1.741935, 1.134103, 0.000000,                     -0.134104, 1.134103, 0.000000, -0.134104
1.670103, 1.128046, 0.000000,                     -0.128046, 1.128046, 0.000000, -0.128046
1.603960, 1.119460, 0.000000,                     -0.119460, 1.119460, 0.000000, -0.119460
1.542857, 1.108611, 0.000001,                     -0.108612, 1.108611, 0.000001, -0.108612
1.486239, 1.095846, 0.000001,                     -0.095846, 1.095846, 0.000001, -0.095846
1.433628, 1.081423, 0.000001,                     -0.081424, 1.081423, 0.000001, -0.081424
1.384615, 1.065530, 0.000001,                     -0.065531, 1.065530, 0.000001, -0.065531
1.338843, 1.048473, 0.000001,                     -0.048474, 1.048473, 0.000001, -0.048474
1.296000, 1.030663, 0.000002,                     -0.030665, 1.030663, 0.000002, -0.030665
1.255814, 1.012676, 0.000003,                     -0.012679, 1.012676, 0.000003, -0.012679
1.218045, 0.995143, 0.000004,                     0.004853, 0.995143, 0.000004, 0.004853
1.182482, 0.978671, 0.000007,                     0.021322, 0.978671, 0.000007, 0.021322
1.148936, 0.963801, 0.000010,                     0.036189, 0.963801, 0.000010, 0.036189
1.117241, 0.951086, 0.000014,                     0.048900, 0.951086, 0.000014, 0.048900
