Wavelength (μm), R (B), T (B), A (B), R (C), T (C), A (C)
18.000000, 0.124686, 0.441385,                     0.433930, 0.135530, 0.378611, 0.485859
12.461538, 0.175246, 0.361226,                     0.463529, 0.152409, 0.382991, 0.464599
9.529412, 0.108424, 0.456604,                     0.434972, 0.137080, 0.415910, 0.447011
7.714286, 0.064910, 0.616867,                     0.318223, 0.146459, 0.463326, 0.390215
6.480000, 0.043479, 0.719365,                     0.237156, 0.208399, 0.412646, 0.378955
5.586207, 0.024433, 0.779537,                     0.196030, 0.224138, 0.378513, 0.397349
4.909091, 0.027954, 0.824220,                     0.147826, 0.282251, 0.338509, 0.379240
4.378378, 0.042462, 0.816902,                     0.140636, 0.312191, 0.295941, 0.391869
3.951220, 0.056772, 0.803505,                     0.139723, 0.332876, 0.262571, 0.404552
3.600000, 0.068698, 0.783024,                     0.148278, 0.350890, 0.220298, 0.428812
3.306122, 0.068160, 0.761788,                     0.170051, 0.360981, 0.165350, 0.473669
3.056604, 0.073056, 0.774226,                     0.152718, 0.386282, 0.109173, 0.504546
2.842105, 0.075172, 0.773687,                     0.151141, 0.418786, 0.062244, 0.518969
2.655738, 0.073228, 0.772608,                     0.154163, 0.443470, 0.037874, 0.518656
2.492308, 0.068042, 0.772814,                     0.159145, 0.455063, 0.042939, 0.501998
2.347826, 0.060301, 0.774306,                     0.165392, 0.447259, 0.070771, 0.481970
2.219178, 0.050733, 0.776658,                     0.172610, 0.421976, 0.108448, 0.469576
2.103896, 0.040134, 0.779258,                     0.180607, 0.389565, 0.145838, 0.464597
2.000000, 0.029364, 0.781408,                     0.189228, 0.357344, 0.177625, 0.465031
1.905882, 0.019292, 0.782390,                     0.198318, 0.327910, 0.202964, 0.469126
1.820225, 0.010742, 0.781542,                     0.207716, 0.301152, 0.222846, 0.476002
1.741935, 0.004408, 0.778335,                     0.217257, 0.276179, 0.238331, 0.485490
1.670103, 0.000785, 0.772438,                     0.226777, 0.252363, 0.250225, 0.497412
1.603960, 0.000112, 0.763765,                     0.236122, 0.229458, 0.259197, 0.511346
1.542857, 0.002355, 0.752479,                     0.245166, 0.207433, 0.265821, 0.526746
1.486239, 0.007220, 0.738966,                     0.253814, 0.186357, 0.270578, 0.543065
1.433628, 0.014204, 0.723780,                     0.262015, 0.166338, 0.273857, 0.559805
1.384615, 0.022671, 0.707567,                     0.269762, 0.147496, 0.275967, 0.576536
1.338843, 0.031926, 0.690989,                     0.277085, 0.129942, 0.277159, 0.592899
1.296000, 0.041284, 0.674664,                     0.284053, 0.113764, 0.277633, 0.608603
1.255814, 0.050121, 0.659121,                     0.290758, 0.099020, 0.277555, 0.623426
1.218045, 0.057909, 0.644775,                     0.297315, 0.085732, 0.277061, 0.637207
1.182482, 0.064232, 0.631920,                     0.303848, 0.073887, 0.276267, 0.649847
1.148936, 0.068783, 0.620727,                     0.310490, 0.063438, 0.275268, 0.661293
1.117241, 0.071371, 0.611257,                     0.317372, 0.054313, 0.274145, 0.671542
1.087248, 0.071905, 0.603469,                     0.324626, 0.046416, 0.272960, 0.680625
1.058824, 0.070397, 0.597229,                     0.332374, 0.039637, 0.271761, 0.688602
1.031847, 0.066951, 0.592324,                     0.340724, 0.033860, 0.270582, 0.695558
1.006211, 0.061766, 0.588469,                     0.349765, 0.028965, 0.269444, 0.701591
0.981818, 0.055125, 0.585320,                     0.359555, 0.024837, 0.268352, 0.706811
