Wavelength (μm), R (B), T (B), A (B), R (C), T (C), A (C)
18.000000, 0.002897, 0.726921,                     0.270182, 0.002897, 0.726921, 0.270182
12.461538, 0.002904, 0.727119,                     0.269977, 0.002904, 0.727119, 0.269977
9.529412, 0.002907, 0.727263,                     0.269831, 0.002907, 0.727263, 0.269831
7.714286, 0.002906, 0.727393,                     0.269700, 0.002906, 0.727393, 0.269700
6.480000, 0.002904, 0.727523,                     0.269573, 0.002904, 0.727523, 0.269573
5.586207, 0.002901, 0.727656,                     0.269443, 0.002901, 0.727656, 0.269443
4.909091, 0.002896, 0.727797,                     0.269308, 0.002896, 0.727797, 0.269308
4.378378, 0.002889, 0.727947,                     0.269163, 0.002889, 0.727947, 0.269163
3.951220, 0.002882, 0.728109,                     0.269009, 0.002882, 0.728109, 0.269009
3.600000, 0.002873, 0.728280,                     0.268848, 0.002873, 0.728280, 0.268848
3.306122, 0.002863, 0.728465,                     0.268672, 0.002863, 0.728465, 0.268672
3.056604, 0.002852, 0.728657,                     0.268490, 0.002852, 0.728657, 0.268490
2.842105, 0.002841, 0.728864,                     0.268295, 0.002841, 0.728864, 0.268295
2.655738, 0.002829, 0.729083,                     0.268087, 0.002829, 0.729083, 0.268087
2.492308, 0.002817, 0.729313,                     0.267869, 0.002817, 0.729313, 0.267869
2.347826, 0.002805, 0.729557,                     0.267638, 0.002805, 0.729557, 0.267638
2.219178, 0.002794, 0.729812,                     0.267394, 0.002794, 0.729812, 0.267394
2.103896, 0.002782, 0.730080,                     0.267138, 0.002782, 0.730080, 0.267138
2.000000, 0.002771, 0.730360,                     0.266869, 0.002771, 0.730360, 0.266869
1.905882, 0.002760, 0.730654,                     0.266586, 0.002760, 0.730654, 0.266586
1.820225, 0.002750, 0.730958,                     0.266292, 0.002750, 0.730958, 0.266292
1.741935, 0.002741, 0.731278,                     0.265982, 0.002741, 0.731278, 0.265982
1.670103, 0.002732, 0.731608,                     0.265660, 0.002732, 0.731608, 0.265660
1.603960, 0.002723, 0.731952,                     0.265325, 0.002723, 0.731952, 0.265325
1.542857, 0.002715, 0.732306,                     0.264979, 0.002715, 0.732306, 0.264979
1.486239, 0.002707, 0.732676,                     0.264616, 0.002707, 0.732676, 0.264616
1.433628, 0.002700, 0.733057,                     0.264243, 0.002700, 0.733057, 0.264243
1.384615, 0.002693, 0.733453,                     0.263854, 0.002693, 0.733453, 0.263854
1.338843, 0.002687, 0.733861,                     0.263452, 0.002687, 0.733861, 0.263452
1.296000, 0.002681, 0.734284,                     0.263035, 0.002681, 0.734284, 0.263035
1.255814, 0.002677, 0.734715,                     0.262608, 0.002677, 0.734715, 0.262608
1.218045, 0.002673, 0.735164,                     0.262163, 0.002673, 0.735164, 0.262163
1.182482, 0.002670, 0.735624,                     0.261706, 0.002670, 0.735624, 0.261706
1.148936, 0.002669, 0.736099,                     0.261233, 0.002669, 0.736099, 0.261233
1.117241, 0.002669, 0.736583,                     0.260748, 0.002669, 0.736583, 0.260748
1.087248, 0.002671, 0.737080,                     0.260250, 0.002671, 0.737080, 0.260250
1.058824, 0.002674, 0.737588,                     0.259738, 0.002674, 0.737588, 0.259738
1.031847, 0.002679, 0.738107,                     0.259214, 0.002679, 0.738107, 0.259214
1.006211, 0.002686, 0.738639,                     0.258674, 0.002686, 0.738639, 0.258674
0.981818, 0.002695, 0.739179,                     0.258125, 0.002695, 0.739179, 0.258125
