Wavelength (μm), R (B), T (B), A (B), R (C), T (C), A (C)
18.000000, 0.637376, -0.000000,                     0.362625, 0.812197, -0.000000, 0.187803
12.461538, 0.562722, -0.000000,                     0.437278, 0.556015, -0.000000, 0.443985
9.529412, 0.457808, -0.000000,                     0.542192, 0.515915, -0.000000, 0.484085
7.714286, 0.539080, -0.000000,                     0.460920, 0.331328, -0.000000, 0.668672
6.480000, 0.564268, 0.000000,                     0.435732, 0.092111, 0.000000, 0.907889
5.586207, 0.594093, 0.000000,                     0.405907, 0.015312, 0.000000, 0.984688
4.909091, 0.579066, 0.000000,                     0.420934, 0.015647, 0.000000, 0.984353
4.378378, 0.537684, 0.000000,                     0.462316, 0.074139, 0.000000, 0.925861
3.951220, 0.492553, 0.000000,                     0.507447, 0.134778, 0.000000, 0.865222
3.600000, 0.445377, 0.000000,                     0.554623, 0.184344, 0.000000, 0.815656
3.306122, 0.402154, 0.000000,                     0.597845, 0.198135, 0.000000, 0.801865
3.056604, 0.421952, 0.000000,                     0.578048, 0.182291, 0.000000, 0.817709
2.842105, 0.435015, 0.000000,                     0.564985, 0.134730, 0.000000, 0.865270
2.655738, 0.450407, 0.000000,                     0.549593, 0.085787, 0.000000, 0.914213
2.492308, 0.466372, 0.000000,                     0.533628, 0.086804, 0.000000, 0.913196
2.347826, 0.480541, 0.000000,                     0.519459, 0.172324, 0.000000, 0.827676
2.219178, 0.491524, 0.000000,                     0.508476, 0.309947, 0.000000, 0.690053
2.103896, 0.498631, 0.000000,                     0.501369, 0.439064, 0.000000, 0.560936
2.000000, 0.501458, 0.000000,                     0.498542, 0.529870, 0.000000, 0.470130
1.905882, 0.499603, 0.000000,                     0.500396, 0.580418, 0.000000, 0.419582
1.820225, 0.492508, 0.000000,                     0.507492, 0.596170, 0.000000, 0.403830
1.741935, 0.479399, 0.000000,                     0.520601, 0.580768, 0.000000, 0.419231
1.670103, 0.459342, 0.000001,                     0.540657, 0.534964, 0.000001, 0.465036
1.603960, 0.431496, 0.000001,                     0.568503, 0.459828, 0.000001, 0.540171
1.542857, 0.395647, 0.000001,                     0.604352, 0.363927, 0.000001, 0.636072
1.486239, 0.353081, 0.000001,                     0.646917, 0.270810, 0.000002, 0.729188
1.433628, 0.307473, 0.000002,                     0.692525, 0.213029, 0.000003, 0.786968
1.384615, 0.264936, 0.000002,                     0.735062, 0.207652, 0.000003, 0.792345
1.338843, 0.232327, 0.000003,                     0.767670, 0.243340, 0.000004, 0.756656
1.296000, 0.214287, 0.000004,                     0.785709, 0.296303, 0.000004, 0.703692
1.255814, 0.211247, 0.000005,                     0.788748, 0.348259, 0.000005, 0.651736
1.218045, 0.219981, 0.000006,                     0.780013, 0.390063, 0.000006, 0.609930
1.182482, 0.235774, 0.000008,                     0.764218, 0.418187, 0.000008, 0.581805
1.148936, 0.254290, 0.000010,                     0.745700, 0.431174, 0.000011, 0.568815
1.117241, 0.272346, 0.000013,                     0.727641, 0.427549, 0.000016, 0.572436
1.087248, 0.287855, 0.000017,                     0.712127, 0.404930, 0.000023, 0.595047
1.058824, 0.299472, 0.000024,                     0.700504, 0.360179, 0.000036, 0.639785
1.031847, 0.306226, 0.000034,                     0.693740, 0.291274, 0.000058, 0.708668
1.006211, 0.307250, 0.000050,                     0.692700, 0.202785, 0.000095, 0.797120
0.981818, 0.301635, 0.000076,                     0.698289, 0.114745, 0.000154, 0.885101
0.958580, 0.288422, 0.000119,                     0.711459, 0.063660, 0.000236, 0.936104
0.936416, 0.266808, 0.000195,                     0.732996, 0.078119, 0.000339, 0.921543
0.915254, 0.236684, 0.000330,                     0.762986, 0.150022, 0.000460, 0.849518
0.895028, 0.199525, 0.000569,                     0.799906, 0.243745, 0.000606, 0.755649
0.875676, 0.159371, 0.001001,                     0.839629, 0.311058, 0.000770, 0.688172
