Wavelength (μm), R (B), T (B), A (B), R (C), T (C), A (C)
18.000000, 0.868451, 0.000000,                     0.131549, 0.829052, -0.000000, 0.170948
12.461538, 0.762582, -0.000000,                     0.237418, 0.760563, -0.000000, 0.239437
9.529412, 0.661066, -0.000000,                     0.338934, 0.613708, -0.000000, 0.386292
7.714286, 0.802741, -0.000000,                     0.197259, 0.400751, -0.000000, 0.599249
6.480000, 0.801440, -0.000000,                     0.198560, 0.220728, -0.000000, 0.779272
5.586207, 0.787364, -0.000000,                     0.212636, 0.150286, -0.000000, 0.849715
4.909091, 0.781930, -0.000000,                     0.218070, 0.109433, -0.000000, 0.890567
4.378378, 0.767337, 0.000000,                     0.232663, 0.109398, 0.000000, 0.890602
3.951220, 0.751010, 0.000000,                     0.248990, 0.118741, 0.000000, 0.881259
3.600000, 0.728746, 0.000000,                     0.271254, 0.128937, 0.000000, 0.871063
3.306122, 0.699437, 0.000000,                     0.300563, 0.136494, 0.000000, 0.863506
3.056604, 0.702856, 0.000000,                     0.297144, 0.139880, 0.000000, 0.860120
2.842105, 0.694936, 0.000000,                     0.305064, 0.141066, 0.000000, 0.858934
2.655738, 0.684920, 0.000000,                     0.315080, 0.139344, 0.000000, 0.860655
2.492308, 0.674292, 0.000000,                     0.325708, 0.134700, 0.000000, 0.865300
2.347826, 0.662892, 0.000000,                     0.337108, 0.127113, 0.000000, 0.872887
2.219178, 0.650250, 0.000000,                     0.349749, 0.116507, 0.000000, 0.883493
2.103896, 0.635961, 0.000000,                     0.364039, 0.102760, 0.000000, 0.897240
2.000000, 0.619836, 0.000000,                     0.380163, 0.085779, 0.000000, 0.914221
1.905882, 0.601967, 0.000001,                     0.398032, 0.065686, 0.000000, 0.934313
1.820225, 0.582698, 0.000001,                     0.417301, 0.043332, 0.000000, 0.956668
1.741935, 0.562546, 0.000001,                     0.437453, 0.021348, 0.000000, 0.978651
1.670103, 0.542129, 0.000001,                     0.457870, 0.005756, 0.000001, 0.994244
1.603960, 0.522114, 0.000001,                     0.477884, 0.006924, 0.000001, 0.993075
1.542857, 0.503193, 0.000002,                     0.496805, 0.036523, 0.000001, 0.963476
1.486239, 0.486046, 0.000002,                     0.513951, 0.098216, 0.000002, 0.901782
1.433628, 0.471312, 0.000003,                     0.528686, 0.180543, 0.000003, 0.819454
1.384615, 0.459524, 0.000003,                     0.540473, 0.264225, 0.000004, 0.735772
1.338843, 0.451027, 0.000004,                     0.548968, 0.335725, 0.000004, 0.664271
1.296000, 0.445908, 0.000005,                     0.554087, 0.391261, 0.000005, 0.608734
1.255814, 0.443948, 0.000007,                     0.556045, 0.432729, 0.000006, 0.567265
1.218045, 0.444643, 0.000009,                     0.555348, 0.463458, 0.000008, 0.536535
1.182482, 0.447277, 0.000011,                     0.552711, 0.486292, 0.000009, 0.513698
1.148936, 0.451033, 0.000015,                     0.548952, 0.503169, 0.000012, 0.496819
1.117241, 0.455109, 0.000019,                     0.544872, 0.515255, 0.000016, 0.484730
1.087248, 0.458813, 0.000025,                     0.541162, 0.523198, 0.000021, 0.476781
1.058824, 0.461595, 0.000033,                     0.538372, 0.527361, 0.000028, 0.472611
1.031847, 0.463052, 0.000045,                     0.536903, 0.527967, 0.000039, 0.471995
1.006211, 0.462898, 0.000063,                     0.537039, 0.525182, 0.000055, 0.474763
0.981818, 0.460920, 0.000090,                     0.538990, 0.519155, 0.000079, 0.480765
0.958580, 0.456925, 0.000133,                     0.542942, 0.510008, 0.000119, 0.489873
0.936416, 0.450692, 0.000204,                     0.549104, 0.497802, 0.000184, 0.502014
0.915254, 0.441912, 0.000325,                     0.557763, 0.482488, 0.000295, 0.517217
0.895028, 0.430119, 0.000540,                     0.569341, 0.463832, 0.000494, 0.535674
0.875676, 0.414603, 0.000942,                     0.584455, 0.441325, 0.000868, 0.557808
0.857143, 0.394266, 0.001737,                     0.603997, 0.414039, 0.001607, 0.584354
0.839378, 0.367404, 0.003405,                     0.629190, 0.380403, 0.003167, 0.616430
0.822335, 0.331351, 0.007150,                     0.661498, 0.337843, 0.006692, 0.655464
0.805970, 0.282016, 0.016159,                     0.701826, 0.282313, 0.015254, 0.702433
0.790244, 0.214033, 0.039012,                     0.746955, 0.208484, 0.037296, 0.754220
0.775120, 0.126142, 0.095859,                     0.778000, 0.115752, 0.093203, 0.791045
0.760563, 0.042623, 0.207504,                     0.749873, 0.032226, 0.204441, 0.763333
0.746544, 0.010222, 0.326976,                     0.662802, 0.007552, 0.320845, 0.671603
0.733032, 0.011720, 0.380989,                     0.607291, 0.014692, 0.369347, 0.615961
0.720000, 0.010345, 0.388567,                     0.601089, 0.013884, 0.374100, 0.612016
0.707424, 0.007830, 0.382396,                     0.609775, 0.010569, 0.367061, 0.622371
0.695279, 0.010578, 0.373900,                     0.615521, 0.012817, 0.357879, 0.629303
0.683544, 0.016426, 0.366331,                     0.617243, 0.018496, 0.349203, 0.632301
0.672199, 0.020359, 0.360413,                     0.619227, 0.022292, 0.341895, 0.635813
0.661224, 0.020352, 0.355132,                     0.624517, 0.022077, 0.335272, 0.642651
0.650602, 0.018346, 0.348648,                     0.633007, 0.019818, 0.327745, 0.652436
0.640316, 0.017680, 0.339907,                     0.642413, 0.018863, 0.318296, 0.662841
0.630350, 0.019887, 0.329667,                     0.650446, 0.020725, 0.307518, 0.671757
0.620690, 0.023546, 0.320014,                     0.656440, 0.023997, 0.297245, 0.678758
0.611321, 0.025593, 0.312905,                     0.661503, 0.025684, 0.289243, 0.685072
0.602230, 0.023553, 0.308352,                     0.668095, 0.023424, 0.283578, 0.692998
0.593407, 0.017862, 0.304956,                     0.677182, 0.017670, 0.278910, 0.703420
0.584838, 0.009435, 0.303494,                     0.687071, 0.009404, 0.275983, 0.714613
0.576512, 0.002266, 0.298642,                     0.699092, 0.002436, 0.270354, 0.727210
0.568421, 0.000038, 0.288442,                     0.711520, 0.000210, 0.260420, 0.739370
0.560554, 0.003084, 0.275366,                     0.721550, 0.003040, 0.248248, 0.748712
0.552901, 0.008218, 0.265718,                     0.726064, 0.007935, 0.238638, 0.753427
0.545455, 0.013497, 0.256142,                     0.730361, 0.012865, 0.229589, 0.757547
0.538206, 0.017408, 0.248191,                     0.734402, 0.016304, 0.222208, 0.761488
0.531148, 0.018148, 0.250256,                     0.731595, 0.017212, 0.220729, 0.762059
0.524272, 0.015024, 0.255459,                     0.729518, 0.015467, 0.222434, 0.762099
0.517572, 0.015159, 0.250954,                     0.733886, 0.015573, 0.218584, 0.765843
0.511041, 0.022901, 0.240187,                     0.736912, 0.021805, 0.209477, 0.768718
0.504673, 0.037408, 0.226847,                     0.735745, 0.033933, 0.197848, 0.768220
0.498462, 0.054423, 0.211603,                     0.733974, 0.048315, 0.184597, 0.767088
0.492401, 0.065228, 0.197571,                     0.737201, 0.057794, 0.172131, 0.770075
0.486486, 0.067609, 0.186336,                     0.746055, 0.060144, 0.161971, 0.777885
0.480712, 0.061754, 0.178620,                     0.759626, 0.055514, 0.154692, 0.789794
