Wavelength (μm), R (B), T (B), A (B), R (C), T (C), A (C)
18.000000, 0.059776, 0.637570,                     0.302654, 0.142732, 0.173660, 0.683608
15.690962, 0.055133, 0.565657,                     0.379210, 0.145832, 0.168071, 0.686097
13.906977, 0.174625, 0.330478,                     0.494897, 0.160571, 0.153022, 0.686407
12.487239, 0.167194, 0.528357,                     0.304448, 0.186433, 0.129321, 0.684246
11.330526, 0.040974, 0.821776,                     0.137251, 0.146381, 0.175946, 0.677674
10.369942, 0.030090, 0.660327,                     0.309582, 0.084813, 0.251474, 0.663712
9.559503, 0.118175, 0.421610,                     0.460215, 0.087729, 0.251414, 0.660857
8.866557, 0.128182, 0.544276,                     0.327543, 0.105701, 0.223795, 0.670504
8.267281, 0.068336, 0.736709,                     0.194954, 0.095143, 0.240174, 0.664683
7.743885, 0.042027, 0.739769,                     0.218204, 0.098236, 0.253459, 0.648304
7.282815, 0.047258, 0.729307,                     0.223435, 0.118347, 0.235324, 0.646328
6.873563, 0.043390, 0.796427,                     0.160183, 0.129182, 0.222172, 0.648645
6.507860, 0.033697, 0.864201,                     0.102102, 0.139484, 0.216235, 0.644281
6.179104, 0.025383, 0.937386,                     0.037232, 0.150917, 0.204407, 0.644675
5.881967, 0.014987, 1.010863,                     -0.025850, 0.155362, 0.198338, 0.646300
5.612096, 0.006478, 1.034953,                     -0.041431, 0.162461, 0.195954, 0.641586
5.365902, 0.002803, 1.038343,                     -0.041146, 0.172343, 0.187664, 0.639993
5.140401, 0.001456, 1.051525,                     -0.052981, 0.177976, 0.180731, 0.641293
4.933089, 0.001302, 1.047752,                     -0.049055, 0.185439, 0.175705, 0.638857
4.741850, 0.001985, 1.035476,                     -0.037461, 0.193824, 0.166891, 0.639285
4.564885, 0.003582, 1.035727,                     -0.039309, 0.197473, 0.159462, 0.643066
4.400654, 0.006152, 1.029358,                     -0.035510, 0.201760, 0.154484, 0.643756
4.247830, 0.008442, 1.016569,                     -0.025011, 0.206668, 0.147491, 0.645841
4.105263, 0.010894, 1.013688,                     -0.024581, 0.207881, 0.141468, 0.650651
3.971956, 0.014354, 1.008104,                     -0.022457, 0.210094, 0.137144, 0.652762
3.847034, 0.017361, 0.996825,                     -0.014186, 0.213541, 0.130808, 0.655650
3.729730, 0.020105, 0.992912,                     -0.013017, 0.214141, 0.124337, 0.661522
3.619368, 0.023831, 0.988271,                     -0.012102, 0.215391, 0.118682, 0.665927
3.515349, 0.027190, 0.978554,                     -0.005744, 0.217438, 0.111382, 0.671180
3.417143, 0.030031, 0.974240,                     -0.004272, 0.216348, 0.104268, 0.679384
3.324274, 0.033760, 0.970339,                     -0.004099, 0.214923, 0.098830, 0.686247
3.236320, 0.037272, 0.961965,                     0.000763, 0.213714, 0.093702, 0.692584
3.152900, 0.040118, 0.957532,                     0.002350, 0.209221, 0.090556, 0.700222
3.073672, 0.043717, 0.954188,                     0.002095, 0.203639, 0.090631, 0.705730
2.998329, 0.047251, 0.946965,                     0.005785, 0.197789, 0.092598, 0.709614
2.926591, 0.050042, 0.942568,                     0.007390, 0.188598, 0.097497, 0.713905
2.858205, 0.053434, 0.939671,                     0.006895, 0.177881, 0.105972, 0.716147
2.792942, 0.056893, 0.933446,                     0.009661, 0.167017, 0.116480, 0.716504
2.730594, 0.059585, 0.929200,                     0.011215, 0.153806, 0.129679, 0.716515
2.670968, 0.062722, 0.926683,                     0.010594, 0.139963, 0.145904, 0.714133
2.613890, 0.066031, 0.921349,                     0.012619, 0.127241, 0.163354, 0.709405
2.559201, 0.068586, 0.917339,                     0.014075, 0.114109, 0.182331, 0.703560
2.506754, 0.071436, 0.915173,                     0.013391, 0.101946, 0.203031, 0.695024
2.456413, 0.074536, 0.910648,                     0.014815, 0.092275, 0.223467, 0.684257
2.408054, 0.076921, 0.906939,                     0.016140, 0.083725, 0.243711, 0.672564
2.361562, 0.079463, 0.905108,                     0.015428, 0.077120, 0.264178, 0.658702
2.316832, 0.082309, 0.901334,                     0.016357, 0.073392, 0.283075, 0.643533
2.273764, 0.084495, 0.897983,                     0.017522, 0.071028, 0.300478, 0.628494
