Wavelength (μm), R (B), T (B), A (B), R (C), T (C), A (C)
18.000000, 0.940239, 0.000000,                     0.059761, 0.555810, 0.000000, 0.444190
12.461538, 0.812695, 0.000000,                     0.187305, 0.405381, 0.000000, 0.594618
9.529412, 0.674429, 0.000000,                     0.325571, 0.391788, 0.000000, 0.608212
7.714286, 0.812665, 0.000000,                     0.187335, 0.285786, 0.000000, 0.714214
6.480000, 0.862577, 0.000000,                     0.137423, 0.116705, 0.000000, 0.883295
5.586207, 0.938814, 0.000000,                     0.061186, 0.040242, 0.000000, 0.959758
4.909091, 0.949209, 0.000000,                     0.050791, 0.002099, 0.000000, 0.997901
4.378378, 0.916310, 0.000000,                     0.083690, 0.020292, 0.000000, 0.979708
3.951220, 0.864707, 0.000000,                     0.135293, 0.053745, 0.000000, 0.946255
3.600000, 0.792943, 0.000000,                     0.207057, 0.086825, 0.000000, 0.913175
3.306122, 0.711668, 0.000000,                     0.288332, 0.101660, 0.000000, 0.898340
3.056604, 0.700237, 0.000000,                     0.299763, 0.097794, 0.000000, 0.902206
2.842105, 0.677486, 0.000000,                     0.322514, 0.071314, 0.000000, 0.928686
2.655738, 0.662599, 0.000000,                     0.337401, 0.036738, 0.000000, 0.963262
2.492308, 0.656371, 0.000000,                     0.343629, 0.023229, 0.000000, 0.976771
2.347826, 0.656143, 0.000000,                     0.343857, 0.060816, 0.000000, 0.939184
2.219178, 0.659245, 0.000000,                     0.340755, 0.145367, 0.000000, 0.854633
2.103896, 0.663613, 0.000000,                     0.336387, 0.241571, 0.000000, 0.758428
2.000000, 0.667745, 0.000000,                     0.332254, 0.322223, 0.000000, 0.677776
1.905882, 0.670493, 0.000000,                     0.329507, 0.380009, 0.000000, 0.619991
1.820225, 0.670852, 0.000000,                     0.329148, 0.417040, 0.000000, 0.582960
1.741935, 0.667803, 0.000001,                     0.332197, 0.436582, 0.000000, 0.563418
1.670103, 0.660189, 0.000001,                     0.339810, 0.440222, 0.000000, 0.559777
1.603960, 0.646658, 0.000001,                     0.353342, 0.427499, 0.000001, 0.572500
1.542857, 0.625670, 0.000001,                     0.374329, 0.396641, 0.000001, 0.603358
1.486239, 0.595680, 0.000002,                     0.404319, 0.346799, 0.000001, 0.653200
1.433628, 0.555554, 0.000002,                     0.444444, 0.282428, 0.000002, 0.717570
1.384615, 0.505345, 0.000003,                     0.494652, 0.217439, 0.000002, 0.782558
1.338843, 0.447279, 0.000004,                     0.552717, 0.171472, 0.000003, 0.828525
1.296000, 0.386438, 0.000006,                     0.613557, 0.156531, 0.000004, 0.843465
1.255814, 0.330258, 0.000008,                     0.669735, 0.169216, 0.000004, 0.830779
1.218045, 0.286381, 0.000010,                     0.713608, 0.197486, 0.000005, 0.802509
1.182482, 0.259855, 0.000014,                     0.740131, 0.230220, 0.000006, 0.769773
1.148936, 0.251546, 0.000018,                     0.748436, 0.260609, 0.000008, 0.739383
