Wavelength (μm), R (B), T (B), A (B), R (C), T (C), A (C)
18.000000, 0.040736, 0.487123,                     0.472140, 0.251248, 0.223448, 0.525304
12.461538, 0.118785, 0.409153,                     0.472062, 0.246489, 0.224992, 0.528519
9.529412, 0.083388, 0.319909,                     0.596702, 0.212341, 0.261055, 0.526605
7.714286, 0.029631, 0.561682,                     0.408688, 0.204785, 0.285233, 0.509982
6.480000, 0.025141, 0.662218,                     0.312641, 0.245156, 0.261029, 0.493816
5.586207, 0.006215, 0.788324,                     0.205462, 0.273549, 0.236085, 0.490366
4.909091, 0.001847, 0.796495,                     0.201658, 0.297661, 0.217083, 0.485256
4.378378, 0.004574, 0.782342,                     0.213083, 0.321884, 0.191095, 0.487021
3.951220, 0.009821, 0.766282,                     0.223898, 0.331248, 0.168928, 0.499824
3.600000, 0.016093, 0.751363,                     0.232545, 0.333821, 0.151641, 0.514538
3.306122, 0.022782, 0.737903,                     0.239315, 0.329196, 0.137744, 0.533060
3.056604, 0.029573, 0.725812,                     0.244616, 0.321369, 0.127931, 0.550700
2.842105, 0.036263, 0.714980,                     0.248758, 0.312613, 0.119643, 0.567745
2.655738, 0.042711, 0.705330,                     0.251959, 0.302007, 0.113177, 0.584816
2.492308, 0.048808, 0.696826,                     0.254366, 0.292153, 0.107749, 0.600098
2.347826, 0.054468, 0.689448,                     0.256085, 0.281438, 0.102830, 0.615732
2.219178, 0.059620, 0.683187,                     0.257193, 0.271289, 0.098739, 0.629972
2.103896, 0.064208, 0.678048,                     0.257744, 0.261255, 0.094779, 0.643966
2.000000, 0.068187, 0.674021,                     0.257792, 0.251283, 0.091286, 0.657431
1.905882, 0.071519, 0.671105,                     0.257376, 0.242005, 0.088014, 0.669981
1.820225, 0.074175, 0.669293,                     0.256531, 0.232619, 0.084871, 0.682510
1.741935, 0.076134, 0.668571,                     0.255295, 0.223977, 0.082047, 0.693976
1.670103, 0.077380, 0.668916,                     0.253704, 0.215432, 0.079240, 0.705328
1.603960, 0.077904, 0.670301,                     0.251795, 0.207368, 0.076676, 0.715956
1.542857, 0.077704, 0.672691,                     0.249606, 0.199712, 0.074208, 0.726080
1.486239, 0.076783, 0.676035,                     0.247183, 0.192274, 0.071834, 0.735893
1.433628, 0.075153, 0.680281,                     0.244566, 0.185415, 0.069644, 0.744941
1.384615, 0.072834, 0.685360,                     0.241806, 0.178694, 0.067477, 0.753830
1.338843, 0.069857, 0.691189,                     0.238954, 0.172504, 0.065480, 0.762016
1.296000, 0.066261, 0.697672,                     0.236067, 0.166546, 0.063544, 0.769910
1.255814, 0.062099, 0.704699,                     0.233203, 0.160947, 0.061694, 0.777359
1.218045, 0.057435, 0.712143,                     0.230422, 0.155718, 0.059967, 0.784315
1.182482, 0.052349, 0.719863,                     0.227788, 0.150695, 0.058269, 0.791036
1.148936, 0.046934, 0.727703,                     0.225363, 0.146099, 0.056700, 0.797202
1.117241, 0.041296, 0.735498,                     0.223206, 0.141664, 0.055172, 0.803164
1.087248, 0.035553, 0.743068,                     0.221378, 0.137601, 0.053721, 0.808678
1.058824, 0.029837, 0.750238,                     0.219925, 0.133749, 0.052355, 0.813896
1.031847, 0.024284, 0.756823,                     0.218892, 0.130151, 0.051020, 0.818829
1.006211, 0.019036, 0.762655,                     0.218309, 0.126836, 0.049782, 0.823383
0.981818, 0.014232, 0.767576,                     0.218193, 0.123678, 0.048572, 0.827750
0.958580, 0.010006, 0.771450,                     0.218544, 0.120824, 0.047430, 0.831746
0.936416, 0.006481, 0.774167,                     0.219353, 0.118101, 0.046345, 0.835555
0.915254, 0.003760, 0.775653,                     0.220587, 0.115634, 0.045289, 0.839078
0.895028, 0.001929, 0.775875,                     0.222196, 0.113328, 0.044306, 0.842365
0.875676, 0.001043, 0.774834,                     0.224123, 0.111198, 0.043343, 0.845459
0.857143, 0.001135, 0.772567,                     0.226298, 0.109272, 0.042437, 0.848291
0.839378, 0.002207, 0.769157,                     0.228636, 0.107455, 0.041569, 0.850976
0.822335, 0.004233, 0.764711,                     0.231056, 0.105851, 0.040728, 0.853421
0.805970, 0.007165, 0.759372,                     0.233463, 0.104338, 0.039942, 0.855720
0.790244, 0.010930, 0.753293,                     0.235776, 0.103001, 0.039170, 0.857830
0.775120, 0.015439, 0.746650,                     0.237911, 0.101777, 0.038445, 0.859779
0.760563, 0.020589, 0.739616,                     0.239795, 0.100668, 0.037745, 0.861588
0.746544, 0.026266, 0.732374,                     0.241360, 0.099701, 0.037069, 0.863231
0.733032, 0.032353, 0.725100,                     0.242547, 0.098801, 0.036434, 0.864766
0.720000, 0.038730, 0.717956,                     0.243315, 0.098046, 0.035808, 0.866145
0.707424, 0.045277, 0.711096,                     0.243628, 0.097346, 0.035222, 0.867432
0.695279, 0.051879, 0.704660,                     0.243461, 0.096761, 0.034651, 0.868588
0.683544, 0.058425, 0.698776,                     0.242799, 0.096246, 0.034103, 0.869651
0.672199, 0.064811, 0.693550,                     0.241639, 0.095799, 0.033584, 0.870618
0.661224, 0.070939, 0.689073,                     0.239988, 0.095443, 0.033072, 0.871485
0.650602, 0.076717, 0.685424,                     0.237859, 0.095116, 0.032592, 0.872292
0.640316, 0.082062, 0.682669,                     0.235269, 0.094881, 0.032122, 0.872997
